Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Charlotte Reither,N/A,"Google
より（7 か月前）","伝統的な家屋にある広々としたホリデーアパートメント。角館の旧市街にあるとても素敵で静かな場所です。
大きなキッチン、洗濯機と日本式浴槽を備えたバスルーム、ベッドルーム 2 室、伝統的なリビングルームがあります。駐車場あり、オーナーは英語がとても上手です。
一見の価値がある武家屋敷やファミリーマートも徒歩わずか数分の距離にあります。 …",サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
Charlotte Reither,N/A,"Google
より（7 か月前）","伝統的な家屋にある広々としたホリデーアパートメント。角館の旧市街にあるとても素敵で静かな場所です。
大きなキッチン、洗濯機と日本式浴槽を備えたバスルーム、ベッドルーム 2 室、伝統的なリビングルームがあります。駐車場あり、オーナーは英語がとても上手です。
一見の価値がある武家屋敷やファミリーマートも徒歩わずか数分の距離にあります。 …",サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
igi amster,N/A,"Google
より（8 か月前）",最高のロケーションと、とても親切でフレンドリーなオーナーのおかげで、とてもアットホームな滞在になりました。家族旅行にぴったりでした。家はとても広々としていて、必要な設備がすべて揃っていました。ホストは私たちにすべての使い方を丁寧に教えてくれ、近くの観光スポットの地図とおすすめも教えてくれました。,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
igi amster,N/A,"Google
より（8 か月前）",最高のロケーションと、とても親切でフレンドリーなオーナーのおかげで、とてもアットホームな滞在になりました。家族旅行にぴったりでした。家はとても広々としていて、必要な設備がすべて揃っていました。ホストは私たちにすべての使い方を丁寧に教えてくれ、近くの観光スポットの地図とおすすめも教えてくれました。,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
marisa garcia,N/A,"Google
より（1 年前）","とても清潔な古い家で、立地もとても良いです。駐車場があります。
和室と豪華な食器が備わっており、郊外（車でわずか3分）の大型スーパーで事前に買い物をすれば、自分で懐石料理を作ることもできます。
すべてが午後 5 時に閉まり、市内で開いている店を見つけるのは難しいので、これをお勧めします。 …",サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
marisa garcia,N/A,"Google
より（1 年前）","とても清潔な古い家で、立地もとても良いです。駐車場があります。
和室と豪華な食器が備わっており、郊外（車でわずか3分）の大型スーパーで事前に買い物をすれば、自分で懐石料理を作ることもできます。
すべてが午後 5 時に閉まり、市内で開いている店を見つけるのは難しいので、これをお勧めします。 …",サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
Influuu,N/A,"Google
より（7 か月前）", 5/5 Google より（7 か月前） 旅行のタイプ 休暇 同行… もっと見る  いいね  共有,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
Influuu,N/A,"Google
より（7 か月前）", 5/5 Google より（7 か月前） 旅行のタイプ 休暇 同行… もっと見る  いいね  共有,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
Vera Hsieh,N/A,"Google
より（11 か月前）", 5/5 Google より（11 か月前）,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
Vera Hsieh,N/A,"Google
より（11 か月前）", 5/5 Google より（11 か月前）,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
美紀齊藤,N/A,"Google
より（3 年前）", 1/5 Google より（3 年前）,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
美紀齊藤,N/A,"Google
より（3 年前）", 1/5 Google より（3 年前）,サムライストリートハウス武家屋敷通り,"
〒014-0333 秋田県仙北市角館町川原町２３−２","
0187-55-5715",http://hyakusuien.com/,"4.3
(6)",Unknown,Unknown,39.5965491,140.5651773
