Prefecture,Category,Place,Location
tokushima,Selection of best 100 beach,Yuinohama Beach,
tokushima,Selection of best 100 beach,Daisuna beach,
tokushima,the 100 LocalLine of Japan,JR Kotoku Line,
tokushima,the 100 LocalLine of Japan,JR Tokushima Line,
tokushima,the 100 LocalLine of Japan,JR Mugi Line,
tokushima,the 100 LocalLine of Japan,JR Dosan Line,
tokushima,The 100 New Japan Travel Destinations,Naruto,
tokushima,Japan Top 100 Sakura Viewing Sites,Seibu Park,Tokushima-shi Tokushima
tokushima,Geology 100 selections of Japan,Shishikuiura tongue ripple mark,
tokushima,The best 100th of Public Building,Naruto Cultural Center . Naruto,
tokushima,The best 100th of Public Building,Tokushima .,
tokushima,the 100 Japanese hot springs,Iya Onsen,
tokushima,100 Japanese bridge,Yoshinogawa Bridge,"Kamisuketo town Tokushima-shi, Tokushima"
tokushima,100 Japanese bridge,Iya vine bridges,"Nakao Nishiiyayamason Miyoshi, Tokushima"
tokushima,100 famous Pass in Japan,Sajiki pass .,
tokushima,100 selections of Beautiful Japanese Village Landscape,Akamatsu,Tokushima Hiwasa
tokushima,Japanese city park best 100,Tokushima Central park,"Tokushima, Tokushima Prefecture"
tokushima,the 100 Best Rice Terraces in Japan,Kashihara Rice terraces,Tokushima Kamikatsu
tokushima,the 100 Best Rice Terraces in Japan,Shimokage Rice terraces,Ikawa Tokushima
tokushima,The 100 elections of the waterfall in Japan,Oogama Falls,"Naka-cho, Naka-gun, Tokushima"
tokushima,The 100 elections of the waterfall in Japan,Todoro Kujuku Falls,"Kaiyo-cho, Kaifu-gun, Tokushima"
tokushima,The 100 elections of the waterfall in Japan,Amagoi Falls,"Meisei Kamiyama-cho, Tokushima"
tokushima,Hometown Rice Ball Onigiri Top 100,Seaweed rice ball,Tokushima throughout
tokushima,Hometown Rice Ball Onigiri Top 100,Sudachi rice ball,Tokushima throughout
tokushima,Hometown Rice Ball Onigiri Top 100,Otyagome,Tokushima throughout
tokushima,Top 100 Famous Water,Egawa spring water,Tokushima Yoshinogawa
tokushima,Top 100 Famous Water,Turugizan Oshikimizu,Tokushima Miyoshi
