Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Curious38558681861,N/A,"Tripadvisor
より（4 か月前）",ムエタイのレッスンを受けました。|先生のyoyoさんはとても優しく楽しく教えてくれました。|良い運動になり、楽しかったです。|またこのホテルに泊まった際は、何かアクティビティに参加したいと思います。,ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
Curious38558681861,N/A,"Tripadvisor
より（4 か月前）",ムエタイのレッスンを受けました。|先生のyoyoさんはとても優しく楽しく教えてくれました。|良い運動になり、楽しかったです。|またこのホテルに泊まった際は、何かアクティビティに参加したいと思います。,ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
ST0NE T (ぴっぴ),N/A,"Google
より（2 年前）","典型的なリゾートホテルという感じ。プールとビーチがあり日中は水遊びが楽しめ、夜は近所のマーケットで食べてもよし、浜辺のダイナーで食べてもよし。朝食のビュッフェもどれも美味しい。
部屋は手狭だが豪華、従業員の方々はとても親切。子供用プールもあり、お子様連れでも楽しめそう。
大きな繁華街のパトンは空港挟んで真反対なためタクシーだと1時間ほどかかる。
プールは消毒のため夜間(19時以降？)使用不可らしい。",ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
ST0NE T (ぴっぴ),N/A,"Google
より（2 年前）","典型的なリゾートホテルという感じ。プールとビーチがあり日中は水遊びが楽しめ、夜は近所のマーケットで食べてもよし、浜辺のダイナーで食べてもよし。朝食のビュッフェもどれも美味しい。
部屋は手狭だが豪華、従業員の方々はとても親切。子供用プールもあり、お子様連れでも楽しめそう。
大きな繁華街のパトンは空港挟んで真反対なためタクシーだと1時間ほどかかる。
プールは消毒のため夜間(19時以降？)使用不可らしい。",ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
Toshikicorp,N/A,"Renaissance Phuket Resort & Spa
より（3 年前）",1.チェックインの際、何時に部屋に入れるか確認したところ、「わかりません、部屋にはいれるようになったら電話にて連絡します」と言われました。しかし、公式のチェックイン時間である14時になっても電話はかかってきません。14時20分くらいにレセプションに行き確認したところ、「もう準備ができているので部屋に入れます」と言われました。なぜ連絡をしてこないのか不思議でなりません。この時点でまず印象が良くないです。 …,ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
Toshikicorp,N/A,"Renaissance Phuket Resort & Spa
より（3 年前）",1.チェックインの際、何時に部屋に入れるか確認したところ、「わかりません、部屋にはいれるようになったら電話にて連絡します」と言われました。しかし、公式のチェックイン時間である14時になっても電話はかかってきません。14時20分くらいにレセプションに行き確認したところ、「もう準備ができているので部屋に入れます」と言われました。なぜ連絡をしてこないのか不思議でなりません。この時点でまず印象が良くないです。 …,ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
Morii Y,N/A,"Tripadvisor
より（5 年前）",友人との旅行で2日間利用しました。朝食がすごく美味しく、部屋も綺麗でした。プライベートビーチも人が少なくとても居心地がよかったです！R、Denis、Bat is good person!周りにお店は少ないですが、レストランなどもありホテルの中の設備が整っているので特に不便はありませんでした。困っているとすぐ察してくれたり、スタッフの気遣いも素晴らしかったので、ぜひまた利用させて頂きたいと思います！,ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
Morii Y,N/A,"Tripadvisor
より（5 年前）",友人との旅行で2日間利用しました。朝食がすごく美味しく、部屋も綺麗でした。プライベートビーチも人が少なくとても居心地がよかったです！R、Denis、Bat is good person!周りにお店は少ないですが、レストランなどもありホテルの中の設備が整っているので特に不便はありませんでした。困っているとすぐ察してくれたり、スタッフの気遣いも素晴らしかったので、ぜひまた利用させて頂きたいと思います！,ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
Sally,N/A,"Renaissance Phuket Resort & Spa
より（9 年前）","スタッフの方々の笑顔と親切な対応が好印象でした。
滞在中エアコンのトラブルがありましたが、迅速に対応していただけ、その後も何度もお詫びなどがあり、印象ダウンになることはありませんでした。
また、朝食の種類やデコレーションがすばらしく、4泊しましたが、飽きずに楽しめました。 …",ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
Sally,N/A,"Renaissance Phuket Resort & Spa
より（9 年前）","スタッフの方々の笑顔と親切な対応が好印象でした。
滞在中エアコンのトラブルがありましたが、迅速に対応していただけ、その後も何度もお詫びなどがあり、印象ダウンになることはありませんでした。
また、朝食の種類やデコレーションがすばらしく、4泊しましたが、飽きずに楽しめました。 …",ルネッサンス プーケット リゾート & スパ,"
555, Mai Khao, Thalang District, Phuket 83110 タイ","
+66 76 363 999",https://www.marriott.com/en-us/hotels/hktbr-renaissance-phuket-resort-and-spa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"4.6
(1,768)",Unknown,"555, Mai Khao, Thalang District, Phuket 83110 タイ",8.1561975,20.2509857
